Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,Efendy Turkish Mediterranean Grill,Restaurant with onsite dining,yes,yes
2020,Efes Turkish Cuisine,Restaurant with onsite dining,yes,yes
2020,Egg Roll King,Restaurant with onsite dining,yes,yes
2020,Ehler Physiotherapy and Health Consultants,Self-regulated health professional,yes,yes
2020,ela Greek Taverna,Restaurant with onsite dining,yes,yes
2020,Elegant Productions,In-person trade shows and exhibitions,yes,yes
2020,Element Dance Studio,Fitness establishment,yes,yes
2020,Elements Massage Therapy,Unregulated health professional,yes,yes
2020,Elena's Esthetics & Asian Market,Personal care service,yes,yes
2020,Elevate Beauty Institute of Cosmetology,Personal care service,yes,yes
2020,Eliot & Vine,Restaurant with onsite dining,yes,yes
2020,Elite Hair Design,Personal care service,yes,yes
2020,Elizabeth's Creative Hair Dezign,Personal care service,yes,yes
2020,Elk's Salon,Personal care service,yes,yes
2020,Elmsdale Animal Hospital,Veterinarian,yes,yes
2020,Elmsdale Community Chiropractic Center,Self-regulated health professional,yes,yes
2020,Elmsdale Dental Clinic,Dental office,no,yes
2020,Elmsdale Hair Company,Personal care service,no,yes
2020,Elmsdale Pizzeria,Restaurant with onsite dining,yes,no
2020,Elmsdale Vision Centre,Self-regulated health professional,yes,yes
2020,Elsa's Counselling & Consulting,Unregulated health professional,yes,no
2020,Elsies's Used Clothing,Small retail,no,yes
2020,Embellish Medical Aesthetics,Personal care service,yes,yes
2020,Embellish Salon,Personal care service,yes,yes
2020,Embodhi Nutrition and Yoga,Self-regulated health professional,yes,yes
2020,Embrace Orthodontics,Dental office,no,yes
2020,Embrace Orthodontics,Dental office,no,yes
2020,Embrace Spa,Personal care service,yes,yes
2020,Emera Centre Northside,Charity,yes,yes
2020,Emlya Catering,Restaurant with onsite dining,yes,yes
2020,Empower Physical Rehabilitation,Self-regulated health professional,yes,yes
2020,Empowered Minds,Unregulated health professional,yes,yes
2020,Empowerment Health Services,Personal care service,yes,no
2020,Empowerment Health Services,Self-regulated health professional,no,yes
2020,En Pointe Studios,Fitness establishment,yes,yes
2020,Endless Beauty Hair Salon,Personal care service,no,yes
2020,Endodontic Associates,Dental office,no,yes
2020,Enfield Naturopathic Clinic,Unregulated health professional,yes,yes
2020,Enfield Pizza,Restaurant with onsite dining,yes,yes
2020,Engine Room Pub,Restaurant with onsite dining,yes,yes
2020,Enlighten Laser Inc,Personal care service,yes,yes
2020,Entity Massage Therapy,Unregulated health professional,no,yes
2020,Entrenous Hairstyling,Personal care service,yes,yes
2020,ENVE Hair,Personal care service,yes,yes
2020,Envie A Vegan Kitchen,Restaurant with onsite dining,yes,yes
2020,EPIC Dartmouth,In-person trade shows and exhibitions,yes,no
2020,Equine Rehabilitation Specialist,Unregulated health professional,yes,yes
2020,Escape Artists Ltd.,In-person trade shows and exhibitions,yes,yes
2020,eSource Event Registration,In-person trade shows and exhibitions,yes,yes
2020,Essential Elements Hair,Personal care service,yes,yes
2020,Essentially Yours Hair Salon,Personal care service,yes,yes
2020,Esthetician,Personal care service,yes,no
2020,Eurobeauty,Personal care service,yes,yes
2020,European Pantry,Restaurant with onsite dining,yes,yes
2020,Evangeline Animal Hospital,Veterinarian,yes,yes
2020,Evangeline Trail Rides,Fitness establishment,yes,yes
2020,Evan's Seafood,Restaurant with onsite dining,yes,yes
2020,Evergreen Theatre,"Live, performing arts for audience",yes,yes
2020,Everlasting Ink,Personal care service,yes,yes
2020,Everythings's Connected Prospect Wellness Center,Unregulated health professional,yes,no
2020,Evolution Massage Therapy,Self-regulated health professional,yes,yes
2020,Evolve Fitness Ltd,Fitness establishment,yes,yes
2020,"Ewe-nique Boutique, Fibre Arts Emporium",Small retail,no,yes
2020,Excel Fitness & Orthotics,Self-regulated health professional,yes,yes
2020,Exhibits + Displays and Graphics,In-person trade shows and exhibitions,yes,yes
2020,Exigent Events Ltd.,In-person trade shows and exhibitions,yes,yes
2020,Exquisite Cuts Barbershop,Personal care service,yes,yes
2020,Eye World,Self-regulated health professional,yes,no
2020,Eyes On Optometry Group,Self-regulated health professional,yes,yes
2020,F1RST Fence,"Live, performing arts for audience",yes,yes
2020,F45 Training Downtown Halifax,Fitness establishment,yes,yes
2020,Faces,Personal care service,yes,yes
2020,Fademasters Barbershop,Personal care service,yes,no
2020,Fairview Chiropractic and Massage Centre,Self-regulated health professional,yes,yes
2020,Fall River Animal Hospital,Veterinarian,yes,no
2020,Fall River Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Fall River Dental Lab,Dental office,no,yes
2020,Fall River Family Dentistry,Dental office,no,yes
2020,Fall River Taekwon-Do,Fitness establishment,no,yes
2020,Family Eyecare Clinic,Self-regulated health professional,yes,yes
2020,Family Osteopathy,Self-regulated health professional,yes,yes
2020,Family Vision Clinic,Self-regulated health professional,yes,yes
2020,Fancy Nails,Personal care service,yes,yes
2020,Fancy Pants Cafe,Restaurant with onsite dining,yes,yes
2020,Fans Chinese Restaurant,Restaurant with onsite dining,yes,no
2020,Farias Soccer Academy Inc.,Fitness establishment,yes,yes
2020,Farrell Benevolent Society,Not for profit,yes,yes
2020,Fashion Fix,Personal care service,yes,yes
2020,Fattoush,Restaurant with onsite dining,yes,yes
2020,Feathered Edge,Personal care service,yes,yes
2020,Feet 4 Life,Unregulated health professional,yes,yes
2020,Feet First Orthopedics,Self-regulated health professional,yes,yes
2020,Fenerty Osteopathic Wellness Centre,Unregulated health professional,yes,yes
2020,Fergie's Hair Studio,Personal care service,yes,yes
2020,Festival Antigonish Summer Theatre,"Live, performing arts for audience",yes,no
2020,Fickle Frog Pub,Restaurant with onsite dining,yes,yes
2020,Field Guide Restaurant & Bar,Restaurant with onsite dining,yes,yes
2020,Fifty Shades of Hair 1,Personal care service,yes,yes
2020,Fifty Shades of Hair 2,Personal care service,no,yes
2020,Finbar's Irish Pub,Restaurant with onsite dining,yes,yes
2020,Finbar's Irish Pub,Restaurant with onsite dining,yes,yes
2020,Find Your Voice Music Therapy,Self-regulated health professional,yes,yes
2020,Fine Lines Barbershop,Personal care service,yes,yes
2020,Finer Diner,Restaurant with onsite dining,yes,no
2020,Finianos Beauty,Personal care service,yes,yes
2020,Fired Creations,Restaurant with onsite dining,yes,yes
2020,First Choice Haircutters,Personal care service,yes,yes
2020,First Choice Haircutters,Personal care service,yes,yes
2020,First Impressions Medical Aesthetics & Rejuvenation Clinic,Personal care service,yes,yes
2020,First Step Physiotherapy,Self-regulated health professional,yes,yes
2020,Fisherman's Cove Development Association,Not for profit,yes,yes
2020,Fit Folks,Fitness establishment,yes,yes
2020,Fit Right Orthotics,Self-regulated health professional,yes,no
2020,Fitness establishment,Fitness establishment,yes,yes
2020,Fitness establishment,Fitness establishment,yes,yes
2020,Fitness establishment,Fitness establishment,yes,yes
2020,Fitness establishment,Fitness establishment,yes,yes
2020,Fitness establishment,Fitness establishment,yes,yes
2020,Fitness FX,Fitness establishment,yes,yes
2020,Fitness Junkies,Fitness establishment,no,yes
2020,Fitness Management,Fitness establishment,yes,yes
2020,FIT-NUT Fitness,Fitness establishment,no,yes
2020,Fitzgerald's Restaurant,Restaurant with onsite dining,yes,yes
2020,Five Corners Wellness Centre,Unregulated health professional,yes,yes
2020,Five Girls Baking,Small retail,no,yes
2020,Flaunt,Personal care service,yes,yes
2020,Flavours Catering,Restaurant with onsite dining,yes,yes
2020,Fletcher's Restaurant,Restaurant with onsite dining,yes,yes
2020,Fleur-De-Lis Tea Room & Dining Room,Restaurant with onsite dining,yes,yes
2020,Flex Massage Therapy,Unregulated health professional,yes,yes
2020,Flora's Gift Shop,Small retail,no,yes
2020,Florist in Thyme,Personal care service,yes,no
2020,Flowers and Nails,Personal care service,no,yes
2020,Focus on Feet,Unregulated health professional,yes,yes
2020,Fong Sing Restaurant,Restaurant with onsite dining,yes,yes
2020,Fong's Restaurant,Restaurant with onsite dining,yes,no
2020,Foosing Chinese,Restaurant with onsite dining,yes,yes
2020,Foot Solutions Halifax,Unregulated health professional,yes,yes
2020,Footfix,Unregulated health professional,yes,yes
2020,Footprints Foot Care & Health Services,Self-regulated health professional,yes,yes
2020,Forbes New to You,Small retail,no,yes
2020,Forca Training Centre,Fitness establishment,no,yes
2020,Forever Loved Veterinary Hospice & In-Home Euthanasia,Veterinarian,yes,yes
2020,Forever Nice Nails,Personal care service,yes,yes
2020,Forget-me-knot Massage Therapy,Unregulated health professional,yes,yes
2020,Fort Anne Café,Restaurant with onsite dining,no,yes
2020,Fortress Louisbourg,Restaurant with onsite dining,no,yes
2020,Fortune Doughnut,Restaurant with onsite dining,yes,yes
2020,Forward Music Group,"Live, performing arts for audience",yes,yes
2020,Founders House Dining & Drinks,Restaurant with onsite dining,yes,yes
2020,Four Leaves Nail & Beauty,Personal care service,yes,yes
2020,Fox Hollow Golf Club,Restaurant with onsite dining,no,yes
2020,Foxy Moon Hair Gallery,Personal care service,yes,yes
2020,Francisco Sports Therapy,Unregulated health professional,yes,yes
2020,Frank & Dora's,Restaurant with onsite dining,yes,yes
2020,Freddie's Fantastic Fishhouse,Restaurant with onsite dining,yes,yes
2020,Free Flow Massage & Hydrotherapy,Unregulated health professional,yes,yes
2020,"Free People Marketing, Communications and Events",In-person trade shows and exhibitions,yes,yes
2020,Free Spirit Therapeutic Riding Association,Charity,yes,yes
2020,Freedom Miniatures,Small retail,no,yes
2020,Freeman's Little New York,Restaurant with onsite dining,yes,yes
2020,Freeman's Little New York,Restaurant with onsite dining,yes,yes
2020,"Freewheeling Adventures, Sail Loft Yoga",Fitness establishment,yes,yes
2020,Frenchy & Son Barber Shop,Personal care service,yes,yes
2020,Frenchy's Snip & Clip,Personal care service,yes,yes
2020,Fresh From The Oven Bakery N' More,Restaurant with onsite dining,yes,yes
2020,Fresh Hair,Personal care service,yes,yes
2020,Fresh New You Bath and Body,Small retail,no,yes
2020,Freshii,Restaurant with onsite dining,yes,yes
2020,Freshii,Restaurant with onsite dining,yes,yes
2020,Freshii,Restaurant with onsite dining,yes,yes
2020,Freshly Squeezed,Drinking establishment,yes,yes
2020,"Fresho Smoothie, Juice and Salad Bar",Restaurant with onsite dining,yes,no
2020,Friendly Breezes Equestrian Center,Fitness establishment,yes,yes
2020,Friends Chinese Cuisine House,Restaurant with onsite dining,yes,yes
2020,Friends Hair Care,Personal care service,yes,yes
2020,Friends of Hank Snow Society,Not for profit,yes,yes
2020,Friends of Jane's,Small retail,no,yes
2020,Fries & Co,Restaurant with onsite dining,yes,yes
2020,Frontline Medical Training and Consulting Inc.,In-person trade shows and exhibitions,yes,yes
2020,Frosting Cake & Event Design,Small retail,no,yes
2020,Frostings Nails,Personal care service,yes,yes
2020,Fry Daddy's Restaurant,Restaurant with onsite dining,yes,yes
2020,Fry Daddy's Restaurant,Restaurant with onsite dining,yes,yes
2020,Fujiyama Restaurant,Restaurant with onsite dining,yes,yes
2020,Full Plate Cares,In-person trade shows and exhibitions,yes,yes
2020,Functional Fitness,Fitness establishment,yes,yes
2020,Fundy Building Supplies,Small retail,no,yes
2020,Fundy Chiropractic and Wellness Centre,Self-regulated health professional,yes,yes
2020,Fundy Dental Centre,Dental office,no,yes
2020,Fundy Dockside Restaurant & Bar,Restaurant with onsite dining,yes,yes
2020,Fundy Hearing Solutions,Self-regulated health professional,yes,yes
2020,Fundy Restaurant,Restaurant with onsite dining,yes,yes
2020,Fundy Trail Physio Clinic,Self-regulated health professional,yes,yes
2020,Fung Wah Restaurant,Restaurant with onsite dining,yes,yes
2020,Funtopia,Fitness establishment,yes,no
2020,Fusion Studio,Personal care service,yes,yes
2020,Fyidoctors,Self-regulated health professional,no,yes
2020,FYIDoctors Inc.,Self-regulated health professional,yes,no
2020,Gabrieau's Bistro,Restaurant with onsite dining,yes,yes
2020,Gahan House,Restaurant with onsite dining,yes,no
2020,Gaia Global Kitchen,Restaurant with onsite dining,yes,yes
2020,Gangnam Korean BBQ,Restaurant with onsite dining,yes,yes
2020,Garden Food Bar,Restaurant with onsite dining,yes,yes
2020,Gatchell Dentistry,Dental office,no,yes
2020,Gateway Development,Unregulated health professional,yes,yes
2020,Gaudet Optical,Self-regulated health professional,yes,yes
2020,Gaul Reflexology Therapy,Unregulated health professional,yes,yes
2020,Gazelle Sports,In-person trade shows and exhibitions,yes,no
2020,GE.T. Back Rehabilitation,Unregulated health professional,yes,yes
2020,General Dental Surgery,Dental office,no,yes
2020,General Ocularist,Self-regulated health professional,no,yes
2020,Genesis Chiropractic & Wellness Centre,Self-regulated health professional,yes,yes
2020,Genji Sushi,Restaurant with onsite dining,yes,yes
2020,Gentle Touch Spa & Laser,Personal care service,yes,yes
2020,Gentle Touch Spa & Laser,Personal care service,yes,yes
2020,Georgie's Hair Design,Personal care service,yes,yes
2020,Geri's Hair Design Studio,Personal care service,yes,yes
2020,Get The Scoop,Restaurant with onsite dining,yes,yes
2020,Gillis Dental Implants,Dental office,no,yes
2020,Gingerbread Haus Bakery,Restaurant with onsite dining,yes,yes
2020,Ginger's Dancewear,Small retail,no,yes
2020,Girls on Boards,Personal care service,no,yes
2020,GJDE Enterprises Ltd.,Small retail,no,yes
2020,Glace Bay Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Glace Bay Citizens Service League,Personal care service,no,yes
2020,Glenbourne Chiropractic,Self-regulated health professional,yes,yes
2020,Glenora Distillery,Drinking establishment,yes,yes
2020,Glenora Distillery,Restaurant with onsite dining,yes,yes
2020,Glitter Bean Cafe Co-Operative,Restaurant with onsite dining,yes,yes
2020,GLO Massage and Hydrotherapy,Unregulated health professional,no,yes
2020,Global Convention Services,In-person trade shows and exhibitions,yes,no
2020,Global Health Care: A Natural Accent,Unregulated health professional,yes,no
2020,Glooscap Corner/Glooscap Gaming,Restaurant with onsite dining,yes,yes
2020,Glossed Nail Studio,Personal care service,yes,yes
2020,GLOW Signs & Promotions,In-person trade shows and exhibitions,yes,yes
2020,Glow Spa,Personal care service,yes,yes
2020,Go Active Kids,Fitness establishment,yes,no
2020,Goji's Frozen Yogurt,Restaurant with onsite dining,yes,yes
2020,Gold By Design Dental Lab,Self-regulated health professional,yes,yes
2020,Gold Dust Tanning Hair & Esthetics,Personal care service,yes,yes
2020,Golden Dog Productions,In-person trade shows and exhibitions,yes,yes
2020,Golden Fortune Restaurant,Drinking establishment,yes,yes
2020,Golden Touch Hair Design,Personal care service,no,yes
2020,Golden Touch Tanning,Personal care service,yes,yes
2020,Goldleaf Esthetics,Personal care service,yes,yes
2020,Good Robot Brewing Company,Drinking establishment,yes,yes
2020,Goodmore Kombucha,Small retail,no,yes
2020,Goodwin Hotel,Restaurant with onsite dining,no,yes
2020,Gorsebrook Lounge,Restaurant with onsite dining,yes,no
2020,Gourmet Dumplings,Restaurant with onsite dining,no,yes
2020,Governor's Pub & Eatery,Restaurant with onsite dining,yes,no
2020,Graceful Beginnings Birth Services,Unregulated health professional,yes,yes
2020,Gram's Place Cafe,Restaurant with onsite dining,yes,yes
2020,Grand Pre Service Station,Independent gas retail,no,yes
2020,Grande Pre Winery,Restaurant with onsite dining,yes,yes
2020,Granite Springs Golf Club,Restaurant with onsite dining,no,yes
2020,Granny's Antiques & Gifts,Small retail,no,yes
2020,Granville Dental Centre,Dental office,no,yes
2020,Grasshoppers Martial Arts and After School,Fitness establishment,yes,yes
2020,Grayco Foods Limited,Restaurant with onsite dining,no,yes
2020,Great British Grub,Restaurant with onsite dining,yes,yes
2020,Greater Burnside Business Association,Not for profit,yes,yes
2020,Greco,Restaurant with onsite dining,yes,yes
2020,Greco Pizza,Restaurant with onsite dining,yes,yes
2020,Greco Pizza/Robins Donuts,Restaurant with onsite dining,yes,yes
2020,Green Elephant Cafe,Restaurant with onsite dining,yes,yes
2020,Green Leaf Psychological Services,Self-regulated health professional,yes,yes
2020,Greene Therapy Counselling,Self-regulated health professional,yes,yes
2020,GreenHill Hairstyling,Personal care service,no,yes
2020,Grey Sea Artist & Event Management,"Live, performing arts for audience",yes,yes
2020,Greywave Senior Care Consulting,Self-regulated health professional,yes,yes
2020,Grindhouse Blade Care & Ware,Small retail,no,yes
2020,Ground Up Equine Services,Fitness establishment,yes,yes
2020,Ground Zero Climbing Gym,Fitness establishment,yes,yes
2020,Grounded Cafe,Restaurant with onsite dining,yes,no
2020,Grounded Journey Art Therapy,Self-regulated health professional,no,yes
2020,Groundsound,"Live, performing arts for audience",yes,yes
2020,Groundswell Guest House,Restaurant with onsite dining,yes,yes
2020,GroundSwell Music,"Live, performing arts for audience",yes,yes
2020,G-Street Pizza,Restaurant with onsite dining,yes,yes
2020,Guapa Boutique Inc.,Small retail,no,yes
2020,Guocan Take Out Chinese Resturant,Restaurant with onsite dining,yes,yes
2020,Gus' Pub & Grill,Restaurant with onsite dining,yes,yes
2020,GymNation Gymnastics and Trampoline,Fitness establishment,no,yes
2020,Habaneros,Restaurant with onsite dining,yes,yes
2020,Habaneros,Restaurant with onsite dining,yes,yes
2020,Habanero's Modern Taco Bar,Restaurant with onsite dining,yes,yes
2020,Habaneros Woodside,Restaurant with onsite dining,yes,yes
2020,Habitat for Humanity NS,Not for profit,yes,yes
2020,Hair and Sea Studio,Personal care service,yes,yes
2020,Hair By Bea,Personal care service,yes,yes
2020,Hair Design Centre,Personal care service,yes,no
2020,Hair Designs,Personal care service,yes,yes
2020,Hair Devotion,Personal care service,yes,yes
2020,Hair Expressions and Day Spa,Personal care service,yes,yes
2020,Hair Focus,Personal care service,yes,yes
2020,Hair Garden,Personal care service,yes,yes
2020,Hair Hunters Cutting Edge,Personal care service,yes,yes
2020,Hair She Goes Mobile Salon,Personal care service,yes,yes
2020,Hair Studio 206,Personal care service,yes,yes
2020,Hair Stylez,Personal care service,yes,yes
2020,Hair to Go,Personal care service,yes,yes
2020,Hair to Stay,Personal care service,yes,yes
2020,HAIR.ink,Self-regulated health professional,yes,yes
2020,Hairitage House Day Spa,Personal care service,yes,yes
2020,HairSalon 36,Personal care service,yes,yes
2020,Hala's Pizza and Donair,Restaurant with onsite dining,yes,yes
2020,Half Acre Cafe,Restaurant with onsite dining,yes,yes
2020,Halflife Records Inc,"Live, performing arts for audience",yes,yes
2020,Hali Deli,Restaurant with onsite dining,yes,yes
2020,Haliente's Creative Studio,Fitness establishment,yes,yes
2020,Halifax Acupuncture & Holistic Health Centre,Unregulated health professional,yes,yes
2020,Halifax ALTA Gymnastics Club,Not for profit,yes,yes
2020,Halifax Backpackers and Alteregos Cafe,Restaurant with onsite dining,yes,yes
2020,Halifax Brazilian Jiu Jitsu Society,Not for profit,yes,yes
2020,Halifax Bread Factory,Restaurant with onsite dining,yes,yes
2020,Halifax Brewery Farmer's Market Cooperative,Not for profit,yes,yes
2020,Halifax Bridge World,Fitness establishment,no,yes
2020,Halifax Camerata Singers,"Live, performing arts for audience",yes,yes
2020,Halifax Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Halifax City Soccer Club,Not for profit,yes,yes
2020,Halifax Comedy Festival,"Live, performing arts for audience",yes,yes
2020,Halifax Curling Club,Not for profit,yes,yes
2020,Halifax Dance Association,Charity,yes,yes
2020,Halifax Dental Group,Dental office,no,yes
2020,Halifax Dental Studio,Dental office,no,yes
2020,Halifax Dunbrack Soccer Club,Not for profit,yes,yes
2020,Halifax Endodontics,Dental office,no,yes
2020,Halifax Energy Therapy,Unregulated health professional,yes,no
2020,Halifax Exhibition Centre,In-person trade shows and exhibitions,no,yes
2020,Halifax Gay Men's Chorus Society,Not for profit,yes,no
2020,Halifax Hurricanes,"Live, performing arts for audience",yes,no
2020,Halifax International Busker Festival,"Live, performing arts for audience",yes,no
2020,Halifax Jazz Festival,"Live, performing arts for audience",yes,no
2020,Halifax Junior Bengal Lancers,Not for profit,yes,yes
2020,Halifax Learning Centres,Unregulated health professional,no,yes
2020,Halifax Music Co-Operative,Restaurant with onsite dining,yes,yes
2020,Halifax Naturopathic Health Centre,Self-regulated health professional,yes,yes
2020,Halifax Osteopathic Health Centre,Unregulated health professional,yes,yes
2020,Halifax Prep Basketball,Fitness establishment,yes,yes
2020,Halifax Speech & Language Services,Self-regulated health professional,yes,yes
2020,Halifax Surf School,Small retail,no,yes
2020,Halifax Therapeutic Massage,Unregulated health professional,yes,yes
2020,Halifax Trojan Aquatic Club,Fitness establishment,yes,yes
2020,Halifax Urban Folk Festival,"Live, performing arts for audience",yes,no
2020,Halifax Wanderers Football Club,Small retail,no,yes
2020,Halifax Yoga,Fitness establishment,yes,no
2020,HaliMac Axe Throwing,Drinking establishment,yes,yes
2020,HaliMac Axe Throwing,Drinking establishment,yes,yes
2020,Halls Harbour Restaurant & Gift Shop,Restaurant with onsite dining,no,yes
2020,Halo Salon & Spa,Personal care service,yes,yes
2020,Hamachi Kita Sushi,Restaurant with onsite dining,yes,yes
2020,Hammond Chiropractic Health Centre,Self-regulated health professional,yes,yes
2020,Hammond Dental Centre,Dental office,no,yes
2020,Hammonds Plains Chiropractic,Self-regulated health professional,yes,yes
2020,Hammonds Plains Physiotherapy,Self-regulated health professional,yes,yes
2020,Handicapped Organization Promoting Equality,Not for profit,yes,yes
2020,Hands First Physiotherapy,Self-regulated health professional,yes,yes
2020,Hanham's Gas & Convenience,Independent gas retail,no,yes
2020,Hanna's Variety,Restaurant with onsite dining,yes,no
2020,Hants County Exhibition,In-person trade shows and exhibitions,no,yes
2020,Happenstance,Small retail,no,yes
2020,Happy Dogs Antigonish,Veterinarian,yes,yes
2020,Happy Feet Orthotics,Personal care service,yes,yes
2020,Happy Garden Chinese Restaurant,Restaurant with onsite dining,yes,yes
2020,Happy Kids,Fitness establishment,yes,no
2020,Happy Smiles Dental Hygiene,Self-regulated health professional,yes,yes
2020,Happy Sushi,Restaurant with onsite dining,yes,yes
2020,Happy Veal Hot Pot,Restaurant with onsite dining,yes,yes
2020,Harbour House Ales & Spirits,Restaurant with onsite dining,yes,yes
2020,Harbour Restaurant & Bar,Restaurant with onsite dining,no,yes
2020,Harbour View Restaurant,Restaurant with onsite dining,yes,yes
2020,Harbourside Rehab,Self-regulated health professional,yes,yes
2020,Harbourside Wellness & Spa,Self-regulated health professional,yes,yes
2020,Harbourview Motel,Restaurant with onsite dining,yes,yes
2020,Harmony Hair Spa by A & Co.,Personal care service,yes,yes
2020,Harmony Health Centre Co-operative,Self-regulated health professional,yes,yes
2020,Harness Racing Cape Breton,Not for profit,yes,yes
2020,Harrison Lewis Coastal Discovery Centre,In-person trade shows and exhibitions,no,yes
2020,Hart's Service Centre,Independent gas retail,no,yes
2020,Harvey's,Restaurant with onsite dining,yes,yes
2020,Harvey's,Restaurant with onsite dining,yes,yes
2020,Hassen & Mohammed Holdings,Independent gas retail,no,yes
2020,Hatfield Farm,Restaurant with onsite dining,yes,yes
2020,Hawthorn Clinic,Unregulated health professional,yes,yes
2020,Hazel's Handpicked Clothing,Small retail,no,yes
2020,HB Studios Sports Centre,Not for profit,yes,yes
2020,Head Experts Salon & Barbershop,Personal care service,no,yes
2020,Head Shoppe,Personal care service,yes,yes
2020,Head Shoppe,Personal care service,yes,no
2020,Head Shoppe,Personal care service,yes,no
2020,Headliners Studio,Personal care service,yes,yes
2020,Heads Up Hair Design,Personal care service,yes,yes
2020,Headshoppe,Personal care service,yes,no
2020,Headshoppe,Personal care service,yes,yes
2020,Headstart Tennis,Fitness establishment,yes,yes
2020,Headstart Tennis Centre,Fitness establishment,yes,yes
2020,Healing Points Osteopathy,Unregulated health professional,yes,yes
2020,Health First Chiropractic and Massage,Self-regulated health professional,yes,yes
2020,Healthier Living Massage,Unregulated health professional,no,yes
2020,HealthWalks,Unregulated health professional,yes,yes
2020,Healthy Balance Massage Therapy,Unregulated health professional,no,yes
2020,Healthy Link Chiropractic Wellness Centre,Self-regulated health professional,yes,yes
2020,Healthy Touch Massage Therapy,Unregulated health professional,yes,yes
2020,HealthyWay Café,Restaurant with onsite dining,yes,yes
2020,Hearing Institute Atlantic,Self-regulated health professional,no,yes
2020,Heart Sparks Music Therapy,Unregulated health professional,yes,yes
2020,Heart's Discovery Holistic Therapies & Acupuncture,Unregulated health professional,yes,yes
2020,Heartwood Restaurant,Restaurant with onsite dining,yes,yes
2020,Hearwell Hearing Aid Solutions,Self-regulated health professional,yes,yes
2020,Hebel's Restaurant,Restaurant with onsite dining,yes,yes
2020,Helen's Family Barber Shop,Personal care service,yes,yes
2020,Helson Chiropractic Health Centre,Self-regulated health professional,yes,yes
2020,Hennessey Health Clinic,Unregulated health professional,yes,yes
2020,Henry Street Pub,Drinking establishment,yes,yes
2020,Heppy's Pie Lady,Restaurant with onsite dining,yes,no
2020,Heritage Brewing Co.,Drinking establishment,yes,yes
2020,Heritage PhysioCare At Home,Self-regulated health professional,yes,yes
2020,Herring Choker Deli,Restaurant with onsite dining,no,yes
2020,Herring Cove Community Dentistry,Dental office,no,yes
2020,HFX Tattoo,Personal care service,yes,yes
2020,Hidden Beauty Hair Salon and Esthetic Studio,Personal care service,yes,yes
2020,Hidden Gem Hair Boutique,Personal care service,yes,yes
2020,Hideaway Salon,Personal care service,yes,yes
2020,Highland Arts Theatre,"Live, performing arts for audience",yes,yes
2020,Highland Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Highland District Soccer Association,Not for profit,yes,yes
2020,Highland Eye Care,Self-regulated health professional,yes,yes
2020,Highland Hearing Clinic,Self-regulated health professional,yes,yes
2020,Highland Optical Limited,Self-regulated health professional,yes,yes
2020,Highland Shoe Repair,Personal care service,no,yes
2020,Highlander Strength and Fitness,Fitness establishment,yes,yes
2020,Hillside Family Dental Associates,Dental office,no,yes
2020,Hitlz Tae Kwon Do,Fitness establishment,yes,yes
2020,Hlaifax County United Soccer Club,Not for profit,yes,yes
2020,HLH Convenience and Gas Bar,Independent gas retail,no,yes
2020,Ho Ho Wok,Restaurant with onsite dining,yes,yes
2020,Hockey Ambitions Inc.,Fitness establishment,yes,yes
2020,Hockley Family Dentistry,Dental office,no,yes
2020,Hold Fast Cafe,Restaurant with onsite dining,yes,yes
2020,Holy Cross Pomquet,Charity,yes,no
2020,Homeopathic Healing,Self-regulated health professional,no,yes
2020,Honey & Ginger Natural Wellness,Unregulated health professional,yes,yes
2020,Honey Bee Ice Cream Parlour,Restaurant with onsite dining,yes,yes
2020,Hong Fa Restaurant,Restaurant with onsite dining,yes,no
2020,Hong Yun Chinese Restaurant,Restaurant with onsite dining,yes,yes
2020,Hong's Kithcen,Restaurant with onsite dining,yes,yes
2020,Hop Skip Jump Indoor Play Space,Fitness establishment,yes,yes
2020,Hop Skip Jump Indoor Play Space,Fitness establishment,yes,yes
2020,Hope Project Addiction Recovery Services,Unregulated health professional,no,yes
2020,HopYard Halifax,Restaurant with onsite dining,yes,yes
2020,Horizon Achievement Centre,Charity,yes,yes
2020,Horton Ridge Malt & Grain Co,Drinking establishment,yes,yes
2020,Hostelling International Canada Atlantic Region,Not for profit,yes,yes
2020,Hounds On The Hill,Personal care service,yes,yes
2020,House of Cheng,Restaurant with onsite dining,yes,yes
2020,House of Eights Dance Studio,Fitness establishment,yes,yes
2020,House of Hair Design,Small retail,no,yes
2020,House of Wong Restaurant,Restaurant with onsite dining,yes,yes
2020,HRM Hemlock Holding,Personal care service,yes,yes
2020,HRM Mascots & Inflatables,In-person trade shows and exhibitions,yes,yes
2020,Huang's Restaurant,Restaurant with onsite dining,yes,no
2020,Huang's Restaurant,Restaurant with onsite dining,yes,no
2020,Hub Grub,Restaurant with onsite dining,yes,yes
2020,Hubbards Chiropractic,Self-regulated health professional,yes,yes
2020,Hubbard's Cove Coffee,Restaurant with onsite dining,no,yes
2020,Hubbards Family Dental Clinic,Dental office,no,yes
2020,Hughes Dental Holdings,Dental office,no,yes
2020,Hugo's Bar & Grill,Drinking establishment,yes,yes
2020,Humani-T South Park,Restaurant with onsite dining,yes,yes
