ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
80,Automotive Sector Council of Nova Scotia,sector council_ industry assoc.,Automotive Sector Council Website,"Provide leadership in human resource best practices, labour market information and workforce development strategies for Nova Scotia's automotive industry employers.",http://www.automotivesectorcouncil.ca/,"HR Professionals, Employers, Sector Councils, Apprentices, Automotive, Government, Policymakers",Open,Ongoing,Sectoral,NA,Youth
81,Automotive Trades Association of Atlantic Canada,products,Automotive Trades Association of Atlantic Canada,The A.T.A. is committed to providing members with information beneficial to the successful operation of their business.,http://www.ataatlantic.ca/,,OPEN,,Regional,,NA
82,Bio Talent Canada,products,Bio Talent Canada,"BioTalent Canada's research, reports, courses, employment bank, and programs promote careers, assist companies with human resource issues, and encourage continuing education within the industry.",http://www.biotalent.ca/,,Restricted,,Regional,,Any / All
83,BMO Financial Group: Economic Research and Analysis,products,BMO Economic Research,"Economic Research , forecasts, Publications.",http://www.bmonesbittburns.com/economics/,,OPEN,,National,,Any / All
84,BuildForce Canada,products,"Construction Looking Forward, An Assessment of Construction Labour Markets from 2010 to 2018",An Assessment of Construction Labour Markets from 2010 to 2018 for ATLANTIC CANADA.,http://www.buildforce.ca/en/products/atlantic-canada-2010-report-and-highlights,,Open,Annually,Sectoral,NA,Any / All
85,BuildForce Canada,products,Construction Sector Council Product Library,"A collection of material relevant to the construction sector including labour market information, training programs, essential skills, and outlooks for the industry.",http://www.buildforce.ca/en/catalog,,Open,Periodical,Sectoral,NA,Any / All
86,BuildForce Canada,research,The state of women in construction in Canada,"In industrialized countries worldwide, it is predicted that industry in general, and the construction industry in particular, will face a serious shortfall of skilled workers in the next decade. Global competition for skilled workers will intensify as a result. The projected declines in skilled labour will be driven by demographic trends and national up-skilling strategies that promote university education over other educational pathways to prepare for global competition in the knowledge economy. In response, the Canadian construction industry is taking steps to expand the domestic labour pool by improving access to industry careers by older workers, Aboriginal peoples, immigrants and women. Despite successful initiatives to increase the numbers of women in the construction industry, the rate of their participation, particularly in the trades and onsite construction management, has not grown significantly over time. To address this problem, questions about the challenges and barriers women face must be reopened. This research examines the barriers, as well as good practices that could be implemented to overcome them. The Construction Sector Council conducted this research between 2008 and 2009 using literature review, secondary data analysis, a survey, interviews and focus groups. The purpose of the research was to guide industry in establishing benchmarks for change and to document the good practices needed to achieve it.",http://www.buildforce.ca/en/products/state-women-construction-canada,,Open,NA,Sectoral,2010,Any / All
87,Building Owners and Managers Association Atlantic,products,BOMA Nova Scotia (Building Owners and Managers Association),"To actively represent our members, through education, networking and lobbying, in matters affecting the ownership, management, and operation of commercial properties.",http://www.bomanovascotia.com/,,OPEN,,Provincial,,Any / All
88,"Innovation, Science and Economic Development Canada",research,Business Information by Sector,"In-depth, industry-specific analysis and information on Canadian business.",http://www.ic.gc.ca/eic/site/ic1.nsf/eng/h_00066.html?OpenDocument&,,OPEN,,National,,Any / All
89,Canadian Agricultural Human Resource Council,products,CAHRC (Canadian Agricultural Human Resource Council,"The Council's activities represent farming in all its forms: raising traditional and non-traditional livestock; producing, cultivating, growing, harvesting, or collecting conventional and non-conventional agriculture commodities; and any practices performed as an integral part of an agricultural operation.",http://www.cahrc-ccrha.ca/homepage,,OPEN,,Regional,,Any / All
90,Canadian Apprenticeship Forum,research,Canadian Apprenticeship Forum,"To influence pan-Canadian apprenticeship strategies through research, discussion and collaboration with the apprenticeship community.",http://www.caf-fca.org/en/,,OPEN,,Regional,,Any / All
91,Canadian Association of Petroleum Producers,products,Canadian Association of Petroleum Producers,"The Canadian Association of Petroleum Producers (CAPP) represents companies, large and small, that explore for, develop and produce natural gas and crude oil throughout Canada.",http://www.capp.ca/Pages/default.aspx,,OPEN,,National,,Any / All
92,Canadian Association of Social Workers,products,Canadian Association of Social Workers,"Founded in 1926 to monitor employment conditions and to establish standards of practice within the profession, the Canadian Association of Social Workers (CASW) has evolved into a national voice.",http://www.casw-acts.ca/,,Restricted,,National,,Immigrant
93,Canadian Bankers Association,products,Canadian Bankers Association,The CBA is one of Canada's oldest industry associations and works to promote an understanding of the banking industry in Canada.,http://www.cba.ca/lang.php,,OPEN,,National,,NA
94,Canadian Bar Association,products,Canadian Bar Association,The CBA plays a vital role in advancing the interests of its members by providing balanced and reasoned responses to many issues with which government and the legal profession is faced.,http://www.cba.org/,,Restricted,,National,,NA
95,Canadian Council of Professional Fish Harvesters,products,(CCPFH) Canadian Council of Professional Fish Harvesters,"To ensure that fish harvesters have appropriate knowledge, skills and commitment to meet the human resource needs of the Canadian fishery of the future.",http://www.fishharvesterspecheurs.ca/,,Restricted,,Regional,,NA
96,Canadian Council of Technicians and Technologies,products,Canadian Council of Technicians and Technologists,CCTT is responsible for accrediting the programs that train technicians and technologists in Canada.,http://www.cctt.ca/,,,,Regional,,NA
97,Canadian Federation of Independent Business,research,Nova Scotia Regulation and Paper Burden,"Regulations are an essential tool used by governments to carry out economic and social policy from which businesses and citizens benefit. While some regulation is needed, too often federal and provincial governments impose excess regulation that is not on",http://www.cfib-fcei.ca,"Business, Policymakers, Government, Small Business",Restricted,Annually,"Business, Provincial",2014,
99,Canadian Federation of Independent Business,research,Business Barometer,Indicates fluctuations and factors that affect business,http://www.cfib-fcei.ca/english/article/6065-business-barometer.html,"Business, Entrepreneurs, Managers, Developers",Open,Monthly,Varies,2014,
100,Canadian Federation of Independent Business,research,Wanted: Government Vision for Small Business,Provincial governments across the country make frequent reference to the importance of the small business sector and their initiatives to support it. Yet a CFIB survey of small business owners from across Canada reveals substantial differences in how prov,http://www.cfib-fcei.ca/cfib-documents/rr3321.pdf,"Small Business, Government, Policymakers",Open,NA,"Business, National, Provincial",2014,
101,Canadian Federation of Independent Business,research,Coming Up Short: Barriers to Apprenticeship and the Shortage of Labour,Examines Atlantic Canada’s apprenticeship systems and the challenges faced by small businesses in providing apprenticeship training.,http://www.cfib-fcei.ca/english/article/5721-coming-up-short-barriers-to-apprenticeship-and-the-shortage-of-labour.html,"Apprentices, Business, Government, Labour, Employers, Employees, Managers, Policymakers, Professional Groups",Open,NA,"Individual, Occupation, Regional",2013,
102,Canadian Federation of Independent Business,research,Wanted: Government Vision for Small Business,A survey of CFIB members reveals dramatic differences from province to province in how small business owners perceive their provincial governments’ vision to support entrepreneurship.,http://www.cfib-fcei.ca/english/article/5745-wanted-government-vision-for-small-business.html,"Small Business, Government, Policymakers",Open,NA,"Business, Industry, National, Provincial",,
103,Canadian Federation of Independent Business,research,Ranking Provincial Tax Systems in Canada,"The second edition of the Small Business Provincial Tax Index puts Ontario (#8), Nova Scotia (#9) and Quebec (#10) at the bottom, while Alberta, Saskatchewan and New Brunswick hold down the top three spots.",http://www.cfib-fcei.ca/english/article/5557-ranking-provincial-tax-systems-in-canada-cfib-s-2013-small-business-provincial-tax-index.html,"Small Business, Entrepreneurs, Public, Government, Business, Finance",Open,NA,"National, Provincial, Regional",2013,
107,Canadian Federation of Independent Business,research,Passing on the Business to the Next Generation,Canadians will see a massive transfer of small business assets in the next decade – possibly more than a trillion dollars – but there’s a problem: many entrepreneurs don’t have a succession plan in place.,https://www.cfib-fcei.ca/en/research/passing-business-next-generation,"Business, Youth, Managers, Government, Entrepreneurs",Open,NA,"Business, Industry, Occupation",,
108,Canadian Federation of Independent Business,research,The Future of Atlantic Canada: Dealing with the Demographic Drought,"This report examines the demographic changes taking place in Atlantic Canada, and the resulting labour shortage.",http://s3.amazonaws.com/zanran_storage/www.cfib-fcei.ca/ContentPages/46706674.pdf,"Labour, Youth, Business, Regional Development, Government, Policymakers, Employers, Employees",Open,NA,"Provincial, Regional",,
109,Canadian Federation of Independent Business,research,Wage Watch: a comparison of public-sector and private-sector wages,Detailed analysis of 2006 Census findings on full-time earnings by sector and occupation show that government and public sector employees are paid roughly 8 to 17 per cent more than similarly employed individuals in the private sector,http://www.cfib-fcei.ca/english/article/6069-government-wages.html,"Labour, Employees, Employers, Government, Business, Policymakers",Open,NA,Varies,2008,
110,Canadian Federation of Independent Business,research,Red Tape Report Card 2014,Grades provincial governments based on red tape reduction efforts,http://www.cfib-fcei.ca/cfib-documents/5569.pdf,"Business, Small Business, Government, Policymakers, Public",Open,Annually,"National, Provincial",2014,
111,Canadian Federation of Independent Business,research,Help Wanted: Private sector job vacancies in Canada,"According to the latest Help Wanted report, approximately 296,000 full and part-time job vacancies were reported in the fourth quarter of 2013. The overall vacancy rate remained virtually unchanged from the previous quarter, at 2.5 per cent. The smallest",http://www.cfib-fcei.ca/english/article/6070-job-vacancies.html,"Employers, Job Seekers, Employees, Labour",Open,Quarterly,Business,March 2014,
113,Canadian Federation of Independent Business,products,CFIB (Canadian Federation of Independent Business),"With the strength of over 108,000 small business owners from coast-to-coast - entrepreneurs just like you - the Canadian Federation of Independent Business (CFIB) is the big voice for small business.  For over 40 years, they have represented the interests of the small business community to all three levels of government in their fight for tax fairness, reasonable labour laws, and reduction of regulatory paper burden.",http://www.cfib-fcei.ca/english/index.html,,Restricted,,National,,NA
119,Canadian Federation of Independent Business,research,The Future of Atlantic Canada,"Building on research by the Canadian Federation of Independent Business (CFIB) and others, this report examines the demographic changes taking place in Atlantic Canada, and the resulting labour shortage.  Given the region's high rates of youth out-migration, this report also considers small business owners' views on the future of young Atlantic Canadians and what employers are doing to attract and retain this important group.",http://www.cfib-fcei.ca,,Restricted,NA,Business,2009,"Aboriginals, Immigrant"
121,Canadian Institute of Plumbing and Heating,products,Canadian Institute of Plumbing and Heating,"CIPH is the Canadian Association representing the interests of companies that manufacture, sell, and distribute Plumbing, Hydronic Heating, PVF and Waterworks products and services.",http://www.ciph.com/,,OPEN,,National,,Any / All
123,Canadian Literacy & Learning Network,research,Digital Technology Snapshot of the Literacy and Essential Skills Field 2013,"In this snapshot CLLN looked at digital technology as used by two groups with quite different perspectives: support agencies and
frontline delivery agencies. Many coalitions and networks do not work directly with learners, and so interviews were also",https://eric.ed.gov/?id=ED565207,"Academic, Educators, Government, Non-profit or volunteer, Students, Trainers",Open,NA,Sectoral,2013,
125,Canadian Literacy & Learning Network,research,From poverty to prosperity: Literacy's impact on Canada's Economic Success,"Research has identified literacy skill has the single most important determinant of Canadians’ labour market success. Among other things,
literacy influences their likelihood of being in the labour force, their ability to get a job, the
length of time",https://eric.ed.gov/?id=ED565183,"Business, Educators, Government, Managers, Policymakers, Public, Researchers, Trainers",Open,NA,National,2012,
127,Canadian Literacy & Learning Network,research,Occupational Task Profiles: Canadian Literacy and Essential Skills Workforce – A Pan-Canadian Snapshot,This Pan-Canadian Snapshot examines the competencies needed by educators working in the Literacy and Essential Skills field.,https://eric.ed.gov/?id=ED565194,"Educators, Employers, Trainers",Open,NA,National,2012,
128,Mowat Centre Employment Insurance Task Force,research,Making it Work: Final Recommendations of the Mowat Centre Employment Insurance Task Force,Discusses what is and what is not working in the EI system.,https://mowatcentre.ca/wp-content/uploads/publications/43_making_it_work.pdf,"Business, Employers, Employees, Government, Job Seekers, Labour, Managers, Policymakers, Stakeholders",Open,NA,"Business, Individual, National",2012,Youth
129,Canadian Literacy & Learning Network,research,Labour Market Transfers and the Implications for Literacy and Essential Skills,Provides information on the labour market transfers from the Federal Government to the provincial and territorial governments.,https://eric.ed.gov/?id=ED565185,"Academic, Educators, Government, Non-profit or volunteer, Students, Trainers, Policymakers",Open,NA,"National, Provincial",2012,Youth
132,Canadian Literacy & Learning Network,research,Labour Market Study of the Literacy and Essential Skills Workforce,"Canadian Literacy and Learning Network (CLLN) coordinated a large-scale, confidential survey of Literacy and Essential Skills (LES) workers in Canada to get a comprehensive picture of who is working in the field.",http://en.copian.ca/library/research/les_workforce/kii_report_en/kii_report_en.pdf,"Academic, Educators, Government, Non-profit or volunteer, Students, Trainers, Policymakers",Open,NA,"National, Occupation, Sectoral",2013,
133,Canadian Manufacturers and Exporters,products,CME (Canadian Manufacturers and Exporters),Advocating for manufacturers and exporters. Building a more competitive business environment. Providing critical and timely intelligence. Strengthening leadership through best practices and leveraging networks for success.,http://cme-mec.ca/,,OPEN,,National,,Any / All
134,Canadian Mortgage and Housing Corporation,research,Socio-economic and housing publications,"CMHC periodically produces research on demographic, socio-economic and labour related issues, with a focus on how these topics affect housing.",https://www03.cmhc-schl.gc.ca/catalog/productList.cfm?cat=164&lang=en&fr=1297174339491,,Open,Ongoing,Varies by publication,Varies,Any / All
135,Canadian Payroll Association,products,Canadian Payroll Association,"The CPA represents employers' interests to federal and provincial government ministries, departments, and agencies, proactively influencing payroll-related legislation and policies to enable all stakeholders to administer them in an efficient and effective manner.",http://www.payroll.ca/,,Restricted,,National,,Any / All
136,Canadian Pension & Benefits Institute,products,Canadian Pension & Benefits Institute,"The Canadian Pension & Benefits Institute (CPBI) is Canada's premier forum for education and networking in the pension, employee benefits, and institutional investment industry.",http://www.cpbi-icra.ca,,Restricted,,National,,Any / All
138,Canadian Petroleum Products Institute,products,Canadian Petroleum Products Institute,"The Canadian Petroleum Products Institute is an association of major Canadian companies involved in the refining, distribution, and/or marketing of petroleum products.",http://www.cppi.ca/,,OPEN,,National,,Any / All
139,Canadian Plastics Industry Association,products,Canadian Plastics Industry Association,"The CPIA is a dynamic, member-driven organization dedicated to the growth of plastics businesses and helping the industry reach its full potential. We are an advocacy association, and we speak with one powerful voice.",http://www.plastics.ca,,OPEN,,National,,Any / All
142,Restaurants Canada,products,Restaurants Canada,"Restaurants Canada is a national, not-for-profit association representing Canada’s diverse and dynamic restaurant and foodservice industry.",https://www.restaurantscanada.org/,,OPEN,,National,,Any / All
144,Supply Chain Management Association,products,Supply Chain Management Association,"The Supply Chain Management Association provides leadership to the Canadian supply chain community, provides value to all members, and advances the profession.",https://scma.com,,OPEN,,Regional,,NA
145,Tourism HR Canada,research,Tourism HR Canada,"Skills training, upgrading, and certification are all core components of the Council's mission.",http://tourismhr.ca/,,OPEN,,Regional,,NA
148,Cement Association of Canada,products,Cement Association of Canada (CAC),"The Cement Association of Canada is the voice of Canada's cement industry. Its membership comprises eight companies with clinker and cement manufacturing facilities, granulating and grinding facilities, and distribution terminals from Atlantic Canada to the Pacific coast.",http://www.cement.ca/,,Open,,Provincial,,Any / All
149,Centre for Study of Living Standards,primary,"Estimates of Labour, Capital and Multifactor Productivity by Province and Industry, 1997-2010",Data for all 10 provinces spanning various industries regarding varying measures of productivity.,http://www.csls.ca/data/mfp_new.asp,,Open,Annually,"Industry, Provincial",NA,Any / All
150,Centre for Study of Living Standards,products,International Productivity Monitor,"The International Productivity Monitor is published by the Centre for the Study of Living Standards (CSLS) for Industry Canada to support policy analysis and development in the productivity area. The objective of the Monitor is to focus attention on the importance of productivity for improving living standards and quality of life. The Monitor publishes high-quality articles on productivity issues, trends and developments in Canada and other countries and serves as a vehicle for the international discussion of productivity topics. Print and on-line versions are published twice a year. The articles are largely non-technical in nature and understandable to a wide audience of productivity researchers and analysts as well as the general public. The publication is distributed to anyone interested in productivity issues on a complimentary basis.",http://www.csls.ca/ipm/ipm20.asp,,Open,Semi-Annually,International,NA,Any / All
151,Centre for Study of Living Standards,research,"New Estimates of Labour, Capital and Multifactor Productivity Growth and Levels for Canadian Province","This report presents new estimates of the levels and growth rates of labour, capital, and multifactor productivity for the Canadian provinces by industry for the 1997-2007 period at the market sector, two-digit, and three-digit NAICS industry levels.  Also, estimates of the sources of labour productivity growth (capital intensity, labour quality, and multifactor productivity) are presented.  Furthermore, this report examines the labour productivity gap between the provinces and the Canadian average.  The report closes with a provincial and industry-level perspective on Alberta's relative productivity performance.",http://www.csls.ca/reports/csls2010-06.pdf,,Open,NA,"Industry, Provincial",2010,Any / All
152,Centre for Study of Living Standards,research,The Labour Market and Economic Performance of Canada's First Nations Reserves: The Role of Educational Attainment and Remoteness,"The goal of this report is to investigate the relationship between educational attainment, remoteness, and labour market and economic performance at the reserve level for Aboriginal Canadians.",http://www.csls.ca/reports/csls2011-05.pdf,"Education, Government, Aboriginal, Employers",Open,NA,"Community, National",2011,
153,Centre for Study of Living Standards,research,The State of Private Sector Electronic Exchange Services in Canada,Provides a descriptive overview of the services offered by private sector electronic labour exchanges (ELEs) in Canada. It also assesses the likely effects of ELEs on the labour market,http://www.csls.ca/reports/csls2011-01.pdf,"Labour, Counsellors, Employees, Employers",Open,NA,"National, Occupation",2011,
154,Centre for Study of Living Standards,products,A Companion Guide to Analyzing & Projecting Occupational Trends,"This report is intended to complement Future Labour Supply and Demand 101: A Guide to Analysing and Predicting Occupational Trends, a technical document commissioned
by the Forum of Labour Market Ministers (FLMM) Labour Market Information Working
Group",http://www.csls.ca/reports/csls2010-07.pdf,"Counsellors, Employers, Job Seekers, Policymakers",Open,NA,"Individual, Occupation, Provincial",2010,
155,Centre for Study of Living Standards,research,The State of Knowledge on the Role and Impact of Labour Market Information: A Survey of the International Evidence,This report provides a critical examination of the international literature on the role and impact of labour market information (LMI).,http://www.csls.ca/reports/csls2010-05.pdf,"Policymakers, Government, Employers, Employees",Open,NA,"Individual, Occupation, Provincial",2010,
156,Centre for Study of Living Standards,research,The State of Knowledge on the Role and Impact of Labour Market Information: A Survey of the Canadian Evidence,This report provides a critical assessment of recent Canadian efforts to measure and evaluate the impacts of labour market information (LMI). The purpose of this exercise is to provide a summary of the current state of knowledge on the role and impact of,http://www.csls.ca/reports/csls2010-04.pdf,"Policymakers, Government, Employers, Employees",Open,NA,"Individual, Occupation, Provincial",2010,Aboriginal
157,Centre for Study of Living Standards,research,"The Effect of Increasing Aboriginal Educational Attainment on the Labour Force, Output and the Fiscal Balance","This report seeks to estimate the potential effect of eliminating educational and social gaps between Aboriginal and non-Aboriginal people on government spending and government
revenues using population and economic projections to 2026.",http://www.csls.ca/reports/csls2009-3.pdf,"Aboriginals, Policymakers, Government, Educators, Public",Open,NA,"Community, National, Provincial",2009,Aboriginal
158,Centre for Study of Living Standards,research,Apprenticeship Issues and Challenges Facing Canadian Manufacturing Industries,The objective of this report is to discuss issues related to skilled labour shortages and to apprenticeship in manufacturing.,http://www.csls.ca/reports/csls2008-2.pdf,"Apprentices, Employers, Manufacturers, Employers, Industry Associations, Professional groups, Business",Open,NA,"Industry, National, Occupation, Provincial, Sectoral",2008,Aboriginal
159,Centre for Study of Living Standards,research,Investing in Aboriginal Education in Canada: An Economic Perspective,The objective of this paper is to summarize the research done by the Centre for the Study of Living Standards (CSLS) on the economic impacts of improving levels of Aboriginal education.,http://www.csls.ca/reports/csls2010-03.pdf,"Aboriginals, Educators, Government, Health, Policymakers, Public",Open,NA,"Community, National",2010,
160,Chartered Professional Accountants of Nova Scotia,products,Chartered Professional Accountants of Nova Scotia,Our main priorities are to ensure the protection of the public and the visibility of the profession.,https://www.cpans.ca/web/cpans/,,OPEN,,N/A,,Any / All
163,Child Care Human Resources Sector Council,research,Child Care Human Resources Sector Council,"The CCHRSC is a pan-Canadian, non-profit organization that addresses pressing human resources issues in the child care sector.",http://www.ccsc-cssge.ca/,,OPEN,,Regional,,Any / All
164,Chiropractic Nova Scotia,products,Chiropractic Nova Scotia,Chiropractic is a healing discipline firmly grounded in science.,http://www.knowyourback.ca/,,open,,Provincial,,Any / All
165,College of Dental Hygienist of Nova Scotia,products,College of Dental Hygienist of Nova Scotia,"The College of Dental Hygienists of Nova Scotia, in the best interest of the public, regulates members, promotes excellence in care and advances the profession.",http://www.cdhns.ca/,,open,,Provincial,,Immigrant
166,College of Licensed Practical Nurses of Nova Scotia,products,College of Licensed Practical Nurses of Nova Scotia,"In order that the public trust may be served and protected, the objects and purpose of this Act are to empower the College to regulate the practice of Licensed Practical Nurses.",http://www.clpnns.ca/,,Restricted,,Provincial,,Immigrant
167,College of Occupational Therapists of Nova Scotia,products,College of Occupational Therapists of Nova Scotia,"Our mandate is to protect the public interest by setting standards for practice, establishing programs to ensure that OTs practice safely and competently, and investigating concerns raised about registrants' practices.",http://www.cotns.ca/,,Restricted,,Provincial,,Immigrant
168,College of Physicians and Surgeons of Nova Scotia,products,College of Physicians and Surgeons of Nova Scotia,The College of Physicians and Surgeons of Nova Scotia is responsible for regulating the province's medical profession in accordance with the Nova Scotia Medical Act and its regulations.,http://www.cpsns.ns.ca/,,Restricted,,Provincial,,NA
169,College of Registered Nurses of Nova Scotia,products,College of Registered Nurses of Nova Scotia,The College of Registered Nurses of Nova Scotia (the College: CRNNS) is the regulatory body for nursing in Nova Scotia.,http://www.crnns.ca/default.asp?mn=414.1116.1126,,open,,Provincial,,NA
170,Collision Repair Association Nova Scotia,products,Collision Repair Association Nova Scotia,the Collision Repair Association of Nova Scotia aims to provide a high standard of collision repair service in Nova Scotia by assuring its member's are suitably trained and qualified.,http://www.crans.ca/,,OPEN,,Provincial,,NA
172,Conference Board of Canada,primary,Provincial Economic Trends Service,"Our quarterly two-year economic forecast of the 10 provinces, which sets the Canadian standard for provincial economic outlooks in terms of dedicated staff, powerful tools and forecast data coverage.",http://www.conferenceboard.ca/products/reports/pros_reports.aspx,,Restricted,Quarterly,Industry,NA,Any / All
173,Conference Board of Canada,primary,Provincial Long Term Economic Trends Service,Our annual 20-year forecast of the economies of the 10 provinces-required input into any long-term investment decisions.,http://www.conferenceboard.ca/products/economic_data.aspx,,Restricted,Annually,Industry,NA,NA
174,Conference Board of Canada,products,Compensation and Benefits Service,"This e-Library service gives your organization a Canadian perspective on future trends in compensation and benefits, through our regular outlook reports and strategic information on current compensation and benefit challenges.",http://www.conferenceboard.ca/products/reports/compensationbenefits.aspx,,Restricted,Periodical,Business,NA,Any / All
175,Conference Board of Canada,products,Help Wanted Index Service,The Help-Wanted Index is an indicator of the number of new jobs advertised online. The report is updated monthly.,http://www.conferenceboard.ca/products/reports/help-wanted.aspx,,Restricted,Monthly,Industry,NA,Any / All
176,Conference Board of Canada,products,Human Resource Management Service,"This e-Library service gives every employee at your organization a Canadian perspective on future trends in human resources, through our regular outlook reports and strategic information on current human resource management challenges.",http://www.conferenceboard.ca/products/reports/hr_reports.aspx,,Restricted,Periodical,Business,NA,Any / All
177,Conference Board of Canada,products,Metropolitan Economic Trends-13 CMAs,"Our five-year economic insights into the economies of Canada's 13 largest census metropolitan areas (CMAs), updated three times a year - the only market-by-market forecast of the full set of economic indicators necessary for success.",http://www.conferenceboard.ca/products/reports/metro_reports.aspx,,Restricted,Semi-Annually,Metropolitan Area,NA,Any / All
178,Conference Board of Canada,products,Skills Credential Tool for Individuals,"The Skills Credentialing Tool for Individuals is a self-assessment and portfolio-building tool for students, employees and job-seekers. This tool helps individuals self-assess their essential skills and employability attitudes and behaviours and create an evidence portfolio that they can share with an employment counsellor, instructor or workplace supervisor.",https://survey.conferenceboard.ca/SE/82/sct/,,Open,NA,Individual,NA,Any / All
179,Conference Board of Canada,research,Can Compete: Immigrant-Friendly Businesses,"Businesses can attract, integrate, and retain Immigrant talent by expanding their recruitment methods, offering bridging and mentoring programs, providing language and communication skills training, and promoting cultural awareness in the workplace.",http://www.conferenceboard.ca/documents.aspx?DID=3278,,Restricted,NA,Business,2009,NA
180,Conference Board of Canada,research,Immigrant-Friendly Communities,"Small towns across Canada can attract and retain Immigrant talent with the support of employers and other community stakeholders such as immigrant-serving agencies, school boards, ethnic community groups, and health service providers.",http://www.conferenceboard.ca/documents.aspx?DID=3229,,Restricted,NA,Community,2009,NA
181,Conference Board of Canada,research,Immigrants as Innovators,This report takes a comprehensive approach to understanding and quantifying the relationship between immigration and innovation. The report is designed to help government and business recognize the potential value of immigration to innovation performance.,http://www.conferenceboard.ca/documents.aspx?DID=3825,,Restricted,NA,National,2010,NA
182,Construction Association of Nova Scotia,products,(CANS) Construction Association of Nova Scotia,Building with skill and integrity.,http://www.cans.ns.ca/about/newmember,,Restricted,,National,,NA
183,BuildForce Canada,products,BuildForce Canada,The Construction Sector Council (CSC) is a national industry-led organization committed to the development of a highly skilled workforce that will support the future needs of Canada's construction industry.,http://www.buildforce.ca,,Restricted,,Regional,,NA
184,BuildForce Canada,products,Aboriginal Construction Careers,"A How-to-Guide for Aboriginal Construction Career Awareness, Recruitment and Retention",http://www.aboriginalconstructioncareers.ca/,"Aboriginals, Counsellors, Construction",Restricted,Ongoing,Sectoral,NA,Youth
185,BuildForce Canada,products,Careers in Construction,Provide young Canadians and others facing career choices with information that can help them make decisions.,http://www.careersinconstruction.ca/,"Youth, Job Seekers, Counsellors, Sector Councils",Open,Ongoing,"Occupation, Sectoral",NA,
186,BuildForce Canada,research,Manage to Last: Older Workers' Labour Market Inclusion and Extension,"Based on secondary research, this report outlines the fundamental issues in the employment of older workers. Concentrating on Canada, it also includes relevant ideas from the USA and Europe.",http://www.buildforce.ca/en/products/manage-last-older-workers-labour-market-inclusion-and-extension,"Seniors, Employers, Employees, Business, Government, Policymakers, Managers",Open,NA,"Community, National, Occupation",2011,Immigrant
187,BuildForce Canada,products,Construction Employer's Roadmap to Hiring and retaining Internationally Trained Workers,"A Construction Employer’s Roadmap provides employers with information on the role of employment agencies and immigration consultants and provides an overview of Canada’s immigration programs and the different paths open to permanent residents, temporary r",http://www.buildforce.ca/en/products/construction-employers-roadmap-hiring-and-retaining-internationally-trained-workers,"Immigrants, Construction, Employers, Developers",Open,NA,"Business, Sectoral",2011,Aboriginal
188,BuildForce Canada,research,A Canadian Strategy for Increasing Aboriginal Participation in the Construction Labour Force,This strategy addresses the engagement of Aboriginal people in employment in the construction industry. It sets out high-level strategies based on learnings gained from experience working with the Aboriginal community and the construction industry.,http://www.buildforce.ca/en/products/canadian-strategy-increasing-aboriginal-participation-construction-labour-force,"Aboriginal, Construction, Employers, Government, Policymakers",Restricted,NA,"Community, National, Sectoral",2010,Aboriginal
189,BuildForce Canada,research,A quarter of your people are leaving. How will you fill the gap?,This booklet presents the case to the construction industry for hiring Aboriginal people as a source of labour.,http://www.buildforce.ca/en/products/quarter-your-people-are-leaving-how-will-you-fill-gap,"Aboriginal, Construction, Employers, Government, Policymakers",Restricted,NA,"Community, Sectoral",2010,
190,BuildForce Canada,research,Essential Skills Workshop final report (2010),The CSC held this workshop to introduce a range of approaches to upgrading Essential Skills. The results of the workshop are documented in this report. It includes information on various trade approaches and participants’ suggestions for additional Essent,http://www.buildforce.ca/en/products/essential-skills-workshop-final-report-2010,"Educators, Trainers, Government, Policymakers, Construction, Apprentices",Open,NA,"Occupation, Sectoral",2010,Immigrant
191,BuildForce Canada,products,Brochure: How to start and Operate an Immigrant Construction Employment Program,"This brochure introduces and briefly describes the immigrant construction employment model and the Implementation Guide, and tells users where they can learn more.",http://www.buildforce.ca/en/products/brochure-how-start-and-operate-immigrant-construction-employment-program,"Immigrants, Construction, Employers, Developers",Open,NA,"Community, Occupation, Sectoral",2010,Immigrant
192,BuildForce Canada,products,How to start and Operate an Immigrant Construction Employment Program Implementation Guide,"This guide provides instructions on how to implement an immigrant construction employment program, as well as tools and templates that can be used or adapted for the purpose.",http://www.buildforce.ca/en/products/how-start-and-operate-immigrant-construction-employment-program-implementation-guide,"Immigrants, Construction, Employers, Counsellors",Open,NA,"Community, Occupation, Sectoral",2010,
193,BuildForce Canada,products,Business Case for Essential Skills in Construction,The research behind this report establishes a link between Essential Skills upgrading during early apprenticeship training and return on training investment for employers. The report contains three major sections: the impact of offering Essential Skills t,http://www.buildforce.ca/en/products/business-case-essential-skills-construction,"Educators, Trainers, Government, Policymakers, Construction, Apprentices",Open,NA,"Occupation, Sectoral",2010,Immigrant
194,BuildForce Canada,products,Brochure: Foreign Credentials and Skills Assessment for the Construction Industry: Information for Counsellors,"This brochure describes the Foreign Credentials and Skills Assessment (FCSA) Workbook, and how employment counsellors can use it to help immigrant workers interested in employment in the construction industry.",http://www.buildforce.ca/en/products/brochure-foreign-credentials-and-skills-assessment-construction-industry-information,"Immigrants, Construction, Employers, Developers",Open,NA,"Occupation, Sectoral",2009,Immigrant
